ProductID,ProductName,SalesDate,Sales,Brand,Company
89,Apple iPhone 16,2024-09-13,1772,Apple,Apple
90,Xiaomi Mi 14,2024-10-26,1510,Xiaomi,Xiaomi
91,Realme GT 5,2024-08-23,2560,Realme,Realme
92,Asus ROG Phone 7,2024-01-16,2621,Asus,Asus
93,Oppo Find X7,2024-12-04,2629,Oppo,Oppo
94,Samsung Galaxy S24,2024-01-06,2426,Samsung,Samsung
95,Apple iPhone 16,2024-08-04,4764,Apple,Apple
96,Xiaomi Mi 14,2024-03-10,1977,Xiaomi,Xiaomi
97,Sony Xperia 1 VI,2024-01-12,1876,Sony,Sony
98,Apple iPhone 16,2024-11-04,1385,Apple,Apple
99,Apple iPhone 16,2024-08-14,4108,Apple,Apple
100,Sony Xperia 1 VI,2024-11-10,2595,Sony,Sony
